"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-30","57","32","48"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-10-31","48","32","39"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-01","41","20","35"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-02","54","35",
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-03","53","37","49"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-04","50","29","43"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-05","56","19","50"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-06","60","34","50"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-07","50","37","38"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-08","44","36","44"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-09","44","29","29"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-10","40","16","31"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-11","41","27","36"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-12","36","30","32"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-13","32","28","28"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-14","38","16","27"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-15","39","15","32"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-16","32","20","29"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-17","40","13","28"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-18","44","17","35"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-19","51","18","39"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-20","39","29","29"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-21","44","11","39"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-22","50","32","37"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-23","37","21","26"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-24","35","5","27"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-25","29","18","22"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-26","41","15","30"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-27","31","13","23"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-28","36","22","28"
"USC00212142","DETROIT LAKES 1 NNE, MN US","1980-11-29","41","24","31"
